begin pst_imgsys_t (format of 2025-03-04)
N = 3510
NX = 65
NY = 54
         0 =    0    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[0=0,0]
         1 =    1    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[1=1,0]
         2 =    2    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[2=2,0]
         3 =    3    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[3=3,0]
         4 =    4    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[4=4,0]
         5 =    5    0 w = 0.200000  rhs =  +0.000000 nt =  1  +1.000000*Z[5=5,0]
        50 =   50    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[50=50,0] -99.902439*Z[115=50,1] -64.000000*Z[114=49,1] -64.000000*Z[116=51,1]
        51 =   51    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[51=51,0] -99.902439*Z[116=51,1] -64.000000*Z[115=50,1] -64.000000*Z[117=52,1]
        52 =   52    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[52=52,0] -99.902439*Z[117=52,1] -64.000000*Z[116=51,1] -64.000000*Z[118=53,1]
        53 =   53    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[53=53,0] -99.902439*Z[118=53,1] -64.000000*Z[117=52,1] -64.000000*Z[119=54,1]
        54 =   54    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[54=54,0] -99.902439*Z[119=54,1] -64.000000*Z[118=53,1] -64.000000*Z[120=55,1]
        55 =   55    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[55=55,0] -99.902439*Z[120=55,1] -64.000000*Z[119=54,1] -64.000000*Z[121=56,1]
        56 =   56    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[56=56,0] -99.902439*Z[121=56,1] -64.000000*Z[120=55,1] -64.000000*Z[122=57,1]
        57 =   57    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[57=57,0] -99.902439*Z[122=57,1] -64.000000*Z[121=56,1] -64.000000*Z[123=58,1]
        58 =   58    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[58=58,0] -99.902439*Z[123=58,1] -64.000000*Z[122=57,1] -64.000000*Z[124=59,1]
        59 =   59    0 w = 45.580488  rhs =  -9.097282 nt =  4 +227.902439*Z[59=59,0] -99.902439*Z[124=59,1] -64.000000*Z[123=58,1] -64.000000*Z[125=60,1]
